Running Java benchmark CG, class D, on 1 servers (np=16), sm,self

SLURM job ID: 777012

Servers:
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025

mpirun --mca btl_usnic_if_include 10.10.0.0/16,10.2.0.0/16 --mca btl_tcp_if_include 10.10.0.0/16,10.2.0.0/16 --mca btl sm,self --bind-to core --map-by node -np 16 java -Xmx64g NPB_MPJ.CG class=D

Start: Sun Jun  1 08:41:15 PDT 2014
===============================================================================
 Unofficial NAS Parallel Benchmarks -- CG Benchmark
 Size: 1500000
 Iterations: 100
 Number of active processes: 16
 Number of nonzeroes per row: 21
 Eigenvalue shift: 500.0
 Iteration "-1"  is the warm up iteration
   iteration            ||r||                 zeta
* ACCTime           = 0.000                                    * 
* Mops total        = 2962.302                                 * 
* Operation type    = Floating point                           * 
* Verification      = Successful                               * 
* Process requested = 16                                       * 
*                                                              *
* Please send all errors/feedbacks to:                         * 
* Damian Alvarez Mallon                                        * 
* dalvarezm@udc.es                                             * 
**************************************************************** 
===============================================================================
End: Sun Jun  1 09:02:10 PDT 2014
